gene	stage_area	area	celltype_stage	celltype_region	cell_type	individual	gene.score	p_val_adj	diff.pct	enrichment.ratio	pct.1	pct.2	avg_logfc	stage_region	stage	region
HBA2	mid_pfc	pfc	ipc_mid	ipc_pfc	ipc	gw18	15.39903	0	0.276	19.39871	0.291	0.015	0.79382	mid_pfc	mid	pfc
TTC9B	mid_pfc	pfc	ipc_mid	ipc_pfc	ipc	gw18	7.8519	0	0.231	11.043	0.254	0.023	0.71103	mid_pfc	mid	pfc
HBA1	mid_pfc	pfc	ipc_mid	ipc_pfc	ipc	gw18	7.56604	0	0.144	12.99892	0.156	0.012	0.58205	mid_pfc	mid	pfc
CENPV	mid_pfc	pfc	ipc_mid	ipc_pfc	ipc	gw18	7.23828	0	0.452	6.19533	0.539	0.087	1.16834	mid_pfc	mid	pfc
C1QBP	mid_pfc	pfc	ipc_mid	ipc_pfc	ipc	gw18	6.80103	0	0.272	8.55532	0.308	0.036	0.79495	mid_pfc	mid	pfc
TMEM160	mid_pfc	pfc	ipc_mid	ipc_pfc	ipc	gw18	6.2655	0	0.316	6.26656	0.376	0.06	0.99983	mid_pfc	mid	pfc
HBG2	mid_pfc	pfc	ipc_mid	ipc_pfc	ipc	gw18	6.23465	0	0.343	4.89767	0.431	0.088	1.27298	mid_pfc	mid	pfc
SLN	mid_pfc	pfc	ipc_mid	ipc_pfc	ipc	gw18	5.49017	0	0.103	18.16364	0.109	0.006	0.30226	mid_pfc	mid	pfc
HES6	mid_pfc	pfc	ipc_mid	ipc_pfc	ipc	gw18	4.67312	0	0.46	3.00872	0.689	0.229	1.55319	mid_pfc	mid	pfc
CLTB	mid_pfc	pfc	ipc_mid	ipc_pfc	ipc	gw18	4.56733	0	0.184	7.57116	0.212	0.028	0.60325	mid_pfc	mid	pfc
PXMP2	mid_pfc	pfc	ipc_mid	ipc_pfc	ipc	gw18	4.31458	0	0.116	9.92231	0.129	0.013	0.43484	mid_pfc	mid	pfc
YBX1	mid_pfc	pfc	ipc_mid	ipc_pfc	ipc	gw18	4.04661	0	0.463	1.87358	0.993	0.53	2.15983	mid_pfc	mid	pfc
EBPL	mid_pfc	pfc	ipc_mid	ipc_pfc	ipc	gw18	4.02345	0	0.133	9.31192	0.149	0.016	0.43208	mid_pfc	mid	pfc
NPDC1	mid_pfc	pfc	ipc_mid	ipc_pfc	ipc	gw18	3.91364	0	0.231	5.27768	0.285	0.054	0.74154	mid_pfc	mid	pfc
RCN2	mid_pfc	pfc	ipc_mid	ipc_pfc	ipc	gw18	3.78134	0	0.368	4.2566	0.481	0.113	0.88835	mid_pfc	mid	pfc
KRT10	mid_pfc	pfc	ipc_mid	ipc_pfc	ipc	gw18	3.68182	0	0.214	5.27989	0.264	0.05	0.69733	mid_pfc	mid	pfc
ZNF580	mid_pfc	pfc	ipc_mid	ipc_pfc	ipc	gw18	3.16437	0	0.1	8.14228	0.114	0.014	0.38863	mid_pfc	mid	pfc
PODXL2	mid_pfc	pfc	ipc_mid	ipc_pfc	ipc	gw18	3.08483	0	0.247	4.08745	0.327	0.08	0.75471	mid_pfc	mid	pfc
BAG1	mid_pfc	pfc	ipc_mid	ipc_pfc	ipc	gw18	3.05049	0	0.17	5.47354	0.208	0.038	0.55732	mid_pfc	mid	pfc
MARCKSL1	mid_pfc	pfc	ipc_mid	ipc_pfc	ipc	gw18	2.74266	0	0.342	1.52293	0.996	0.654	1.8009	mid_pfc	mid	pfc
PPP1R1B	mid_pfc	pfc	ipc_mid	ipc_pfc	ipc	gw18	2.48099	0	0.1	6.88195	0.117	0.017	0.36051	mid_pfc	mid	pfc
